date,open,close,high,low,volume,amount
20150212 13:13:00,13.73,13.73,13.74,13.72,352600,4841866
20150212 13:14:00,13.73,13.74,13.74,13.73,144500,1984987
20150212 13:15:00,13.74,13.73,13.74,13.73,82700,1136066
20150212 13:16:00,13.74,13.74,13.74,13.73,175300,2408610
20150212 13:17:00,13.74,13.74,13.74,13.73,47300,649866
20150212 13:18:00,13.74,13.73,13.74,13.73,75900,1042312
20150212 13:19:00,13.74,13.73,13.74,13.73,165100,2267200
20150212 13:20:00,13.74,13.74,13.74,13.73,55900,767805
20150212 13:21:00,13.73,13.74,13.74,13.73,76600,1052388
20150212 13:22:00,13.74,13.75,13.76,13.73,538200,7399703
20150212 13:23:00,13.75,13.76,13.76,13.75,119500,1643221
20150212 13:24:00,13.76,13.76,13.78,13.75,540200,7438996
20150212 13:25:00,13.76,13.78,13.78,13.76,386800,5324870
20150212 13:26:00,13.77,13.77,13.78,13.76,203200,2798566
20150212 13:27:00,13.77,13.77,13.77,13.76,255600,3517994
20150212 13:28:00,13.77,13.77,13.78,13.76,197000,2712579
20150212 13:29:00,13.77,13.77,13.78,13.77,209100,2880069
20150212 13:30:00,13.78,13.78,13.78,13.77,282000,3883386
20150212 13:31:00,13.77,13.78,13.79,13.77,453700,6252294
20150212 13:32:00,13.79,13.79,13.79,13.78,137600,1897253
20150212 13:33:00,13.79,13.79,13.79,13.78,308100,4246174
20150212 13:34:00,13.79,13.79,13.79,13.78,213300,2940577
20150212 13:35:00,13.79,13.78,13.79,13.78,266100,3667288
20150212 13:36:00,13.78,13.78,13.79,13.78,96000,1323018
20150212 13:37:00,13.78,13.77,13.79,13.77,200100,2756914
20150212 13:38:00,13.78,13.78,13.79,13.78,93600,1290199
20150212 13:39:00,13.79,13.78,13.79,13.78,286300,3946951
20150212 13:40:00,13.79,13.79,13.79,13.77,693100,9557194
20150212 13:41:00,13.8,13.82,13.82,13.79,1127400,15561828
20150212 13:42:00,13.81,13.81,13.83,13.81,791700,10946099
20150212 13:43:00,13.82,13.8,13.82,13.8,341600,4717791
20150212 13:44:00,13.81,13.8,13.81,13.8,167000,2305632
20150212 13:45:00,13.81,13.8,13.81,13.8,138800,1915766
20150212 13:46:00,13.81,13.8,13.81,13.79,201200,2776548
20150212 13:47:00,13.8,13.8,13.81,13.79,197300,2721866
20150212 13:48:00,13.79,13.81,13.81,13.79,338300,4669917
20150212 13:49:00,13.81,13.83,13.83,13.81,569600,7871313
20150212 13:50:00,13.82,13.83,13.84,13.82,629700,8705026
20150212 13:51:00,13.84,13.86,13.86,13.83,1187300,16440439
20150212 13:52:00,13.86,13.87,13.87,13.86,434700,6026835
20150212 13:53:00,13.87,13.85,13.87,13.85,402500,5578548
20150212 13:54:00,13.85,13.84,13.85,13.84,371300,5141483
20150212 13:55:00,13.83,13.83,13.84,13.83,278200,3847865
20150212 13:56:00,13.83,13.85,13.85,13.83,379800,5257736
20150212 13:57:00,13.85,13.87,13.87,13.85,773400,10724314
20150212 13:58:00,13.87,13.88,13.89,13.87,1100600,15266835
20150212 13:59:00,13.88,13.88,13.89,13.87,333000,4621091
20150212 14:00:00,13.88,13.88,13.88,13.87,348100,4831384
20150212 14:01:00,13.87,13.87,13.88,13.87,367400,5097528
20150212 14:02:00,13.86,13.85,13.87,13.85,414600,5744371
20150212 14:03:00,13.85,13.85,13.86,13.84,314700,4358715
20150212 14:04:00,13.86,13.85,13.86,13.84,139500,1932761
20150212 14:05:00,13.84,13.84,13.85,13.83,177700,2459412
20150212 14:06:00,13.84,13.83,13.84,13.82,190400,2634201
20150212 14:07:00,13.84,13.85,13.86,13.84,421300,5835530
20150212 14:08:00,13.85,13.86,13.87,13.85,315900,4377244
20150212 14:09:00,13.86,13.88,13.88,13.86,297700,4129378
20150212 14:10:00,13.88,13.88,13.9,13.87,1161200,16108146
20150212 14:11:00,13.89,13.88,13.89,13.88,217500,3019969
20150212 14:12:00,13.88,13.88,13.88,13.87,369600,5129115
20150212 14:13:00,13.88,13.9,13.9,13.88,646200,8977073
20150212 14:14:00,13.88,13.88,13.89,13.87,229600,3185674
20150212 14:15:00,13.89,13.87,13.89,13.87,143700,1994278
20150212 14:16:00,13.87,13.87,13.87,13.86,215600,2989922
20150212 14:17:00,13.86,13.86,13.87,13.86,220400,3056345
20150212 14:18:00,13.86,13.85,13.87,13.85,211800,2935157
20150212 14:19:00,13.85,13.86,13.86,13.85,178500,2473184
20150212 14:20:00,13.87,13.86,13.87,13.85,204000,2828316
20150212 14:21:00,13.87,13.86,13.87,13.85,90600,1255811
20150212 14:22:00,13.86,13.85,13.86,13.85,116000,1606771
20150212 14:23:00,13.86,13.86,13.86,13.85,131100,1816572
20150212 14:24:00,13.85,13.86,13.86,13.85,143900,1994037
20150212 14:25:00,13.85,13.87,13.87,13.85,176800,2451062
20150212 14:26:00,13.87,13.88,13.88,13.86,366600,5087323
20150212 14:27:00,13.88,13.88,13.89,13.88,822800,11422005
20150212 14:28:00,13.9,13.88,13.9,13.87,487000,6765038
20150212 14:29:00,13.88,13.89,13.9,13.88,459900,6391358
20150212 14:30:00,13.89,13.9,13.9,13.89,176700,2455092
20150212 14:31:00,13.89,13.88,13.89,13.88,288300,4002824
20150212 14:32:00,13.88,13.88,13.88,13.87,150100,2082605
20150212 14:33:00,13.87,13.88,13.88,13.87,245900,3411540
20150212 14:34:00,13.88,13.88,13.88,13.87,214400,2975176
20150212 14:35:00,13.88,13.87,13.88,13.87,177100,2457868
20150212 14:36:00,13.88,13.87,13.89,13.86,265800,3688467
20150212 14:37:00,13.87,13.87,13.88,13.87,246800,3423959
20150212 14:38:00,13.87,13.86,13.88,13.85,271300,3761192
20150212 14:39:00,13.86,13.85,13.86,13.84,267500,3704220
20150212 14:40:00,13.84,13.84,13.85,13.84,457100,6326537
20150212 14:41:00,13.83,13.84,13.84,13.83,218000,3016421
20150212 14:42:00,13.84,13.84,13.84,13.83,238100,3295158
20150212 14:43:00,13.85,13.87,13.88,13.84,995600,13796267
20150212 14:44:00,13.88,13.86,13.88,13.86,150700,2089814
20150212 14:45:00,13.87,13.86,13.87,13.85,99000,1372086
20150212 14:46:00,13.86,13.85,13.86,13.85,144800,2005935
20150212 14:47:00,13.86,13.86,13.86,13.84,410700,5688133
20150212 14:48:00,13.85,13.85,13.86,13.85,237100,3284649
20150212 14:49:00,13.86,13.85,13.87,13.85,288300,3996719
20150212 14:50:00,13.86,13.87,13.87,13.85,114000,1579925
20150212 14:51:00,13.86,13.86,13.87,13.85,304900,4225538
20150212 14:52:00,13.86,13.87,13.87,13.86,390300,5413318
20150212 14:53:00,13.87,13.86,13.87,13.86,436800,6056511
20150212 14:54:00,13.86,13.85,13.87,13.85,260800,3614425
20150212 14:55:00,13.86,13.86,13.87,13.85,563800,7812609
20150212 14:56:00,13.87,13.86,13.87,13.86,285900,3964365
20150212 14:57:00,13.86,13.86,13.86,13.86,4800,66528
20150212 14:58:00,13.86,13.86,13.86,13.86,0,0
20150212 14:59:00,13.86,13.86,13.86,13.86,411300,5700618
20150213 09:30:00,13.93,13.96,13.96,13.93,1398600,19505548
20150213 09:31:00,13.96,13.95,13.96,13.93,532700,7428441
